Γενικό Νοσοκομείο Σητείας,Σητεία,2843340100
Γενικό Νοσοκομείο Ιεράπετρας,Ιεράπετρα,2842340222
Γενικό Νοσοκομείο Λασιθίου (Άγιος Νικόλαος),Άγιος Νικόλαος,2841343000
Γενικό Νοσοκομείο Νεάπολης Διαλυνάκειο,Νεάπολη Λασιθίου,2841340831
Γενικό Νοσοκομείο Ρεθύμνου,Ρέθυμνο,2831342100
Γενικό Νοσοκομείο Χανίων Άγιος Γεώργιος,Χανιά,2821342000
Ναυτικό Νοσοκομείο Χανίων,Χανιά,2821082628
Βενιζέλειο-Πανάνειο Γενικό Νοσοκομείο Ηρακλείου,Ηράκλειο,2813408000
Πανεπιστημιακό Νοσοκομείο Ηρακλείου,Ηράκλειο,2813402111
Γενικό Νοσοκομείο Διδυμοτείχου,Διδυμότειχο,2553350100
Πανεπιστημιακό Νοσοκομείο Αλεξανδρούπολης,Αλεξανδρούπολη,2551353000
Στρατιωτικό Νοσοκομείο Αλεξανδρούπολης,Αλεξανδρούπολη,2551055525
Γενικό Νοσοκομείο Ξάνθης,Ξάνθη,2541351100
Στρατιωτικό Νοσοκομείο Ξάνθης,Ξάνθη,2541071521
Σισμανόγλειο Νοσοκομείο Κομοτηνής,Κομοτηνή,2531351100
Γενικό Νοσοκομείο Δράμας,Δράμα,2521023351
Γενικό Νοσοκομείο Καβάλας,Καβάλα,2513501100
Γενικό Νοσοκομείο Καρδίτσας,Καρδίτσα,2441351555
Γενικό Νοσοκομείο Τρικάλων,Τρίκαλα,2431350100
Γενικό Νοσοκομείο Βόλου,Βόλος,2421351000
Γενικό Νοσοκομείο Λάρισας Κουτλιμπάνειο και Τριανταφύλειο,Λάρισα,2413504100
Πανεπιστημιακό Γενικό Νοσοκομείο Λάρισας,Λάρισα,2413501000
404 Στρατιωτικό Νοσοκομείο Λάρισας,Λάρισα,2410993653
Γενικό Νοσοκομείο Γιαννιτσών,Γιαννιτσά,2382350200
Γενικό Νοσοκομείο Έδεσσας,Έδεσσα,2381350100
Γενικό Νοσοκομείο Χαλκιδικής,Πολύγυρος,2371350100
Γενικό Νοσοκομείο Κατερίνης,Κατερίνη,2351350200
Γενικό Νοσοκομείο - Κέντρο Υγείας Γουμένισσας,Γουμένισσα,2343350300
Γενικό Νοσοκομείο Κιλκίς,Κιλκίς,2341351400
Γενικό Νοσοκομείο Νάουσας,Νάουσα,2332059100
Γενικό Νοσοκομείο Βέροιας,Βέροια,2331351100
Γενικό Νοσοκομείο Σερρών,Σέρρες,2321094500
Ψυχιατρικό Νοσοκομείο Θεσσαλονίκης,Σταυρούπολη Θεσσαλονίκης,2313324100
Γενικό Νοσοκομείο Θεσσαλονίκης Παπαγεωργίου,Νέα Ευκαρπία Θεσσαλονίκης,2313323000
Γενικό Νοσοκομείο Θεσσαλονίκης Άγιος Δημήτριος,Θεσσαλονίκη,2313322100
Νοσοκομείο Αφροδισίων και Δερματικών Νόσων Θεσσαλονίκης,Θεσσαλονίκη,2313308804
Νοσοκομείο Ειδικών Παθήσεων Θεσσαλονίκης (Λοιμωδών),Θεσσαλονίκη,2313308700
Γενικό Νοσοκομείο Θεσσαλονίκης Γ. Παπανικολάου,Εξοχή Θεσσαλονίκης,2313307000
Γενικό Νοσοκομείο Θεσσαλονίκης Άγιος Παύλος,Καλαμαριά,2313304400
Πανεπιστημιακό Νοσοκομείο ΑΧΕΠΑ,Θεσσαλονίκη,2313303110
Αντικαρκινικό Νοσοκομείο Θεσσαλονίκης Θεαγένειο,Θεσσαλονίκη,2313301111
Γενικό Νοσοκομείο Θεσσαλονίκης Γ. Γεννηματάς,Θεσσαλονίκη,2310963100
Γενικό Νοσοκομείο Θεσσαλονίκης Ιπποκράτειο,Θεσσαλονίκη,2310892000
Ιατρικό Διαβαλκανικό Κέντρο,Θεσσαλονίκη,2310400000
424 Στρατιωτικό Νοσοκομείο Εκπαιδεύσεως,Νέα Ευκαρπία Θεσσαλονίκης,2310381000
Γενικό Νοσοκομείο Άμφισσας,Άμφισσα,2265022222
Γενικό Νοσοκομείο Θήβας,Θήβα,2262350100
Γενικό Νοσοκομείο Λιβαδειάς,Λιβαδειά,2261020051
Γενικό Νοσοκομείο Καρπενησίου,Καρπενήσι,2237350100
Γενικό Νοσοκομείο Λαμίας,Λαμία,2231356000
Γενικό Νοσοκομείο - Κέντρο Υγείας Καρύστου,Κάρυστος,2224350100
Γενικό Νοσοκομείο - Κέντρο Υγείας Κύμης,Κύμη,2222029300
Γενικό Νοσοκομείο Χαλκίδας,Χαλκίδα,2221350100
Ασκληπιείο Βούλας,Βούλα,2132163000
Ιπποκράτειο,Αθήνα,2132088000
ΚΑΤ,Κηφισιά,2132086000
Τζάνειο,Πειραιάς,2132081000
'Μεταξά,Πειραιάς,2132079100
